,Dr. Gerber,Dr. Johnson,Dr. Craig,Dr. Zhu,Dr. Wang,Dr. Murphy,Dr. Sun,Dr. Eagan,Dr. Ness,Dr. Sudyanti,Dr. Zhang,Dr. Wasab,Dr. Diallo,Dr. Hernandez,Dr. King
Student_85,2,2,5,3,NA,4,5,3,NA,5,3,3,4,2,4
Student_86,3,2,4,2,5,5,2,4,4,4,4,2,3,4,3
Student_87,4,NA,5,4,NA,1,4,4,4,NA,NA,5,2,4,4
Student_88,4,2,4,1,4,1,4,3,4,4,5,5,3,3,NA
Student_89,4,4,5,4,4,5,2,5,2,4,3,5,4,4,4
Student_90,4,4,4,4,4,3,3,4,2,NA,4,NA,5,5,3
Student_91,3,4,NA,2,1,4,3,2,4,2,NA,3,4,4,2
Student_92,4,2,2,5,5,2,4,5,5,4,4,3,4,NA,4
Student_93,4,4,4,3,2,5,NA,3,3,2,2,5,4,4,4
Student_94,NA,4,5,4,5,1,2,4,5,2,5,4,3,5,5
Student_95,NA,4,5,3,5,2,4,3,5,4,4,NA,2,4,5
Student_96,2,4,4,5,4,5,3,4,NA,4,5,3,4,5,3
Student_97,5,5,2,1,2,5,5,5,5,3,5,4,3,5,3
Student_98,5,4,3,NA,4,5,NA,4,4,4,4,4,5,4,2
Student_99,2,5,4,3,4,4,NA,2,3,5,NA,2,3,3,5
Student_100,3,2,4,4,4,5,5,4,3,4,3,5,5,5,4
