"pokedex","name","hp","attack","defense","special_attack","special_defense","speed","is_evolved"
60,"Poliwag",40,50,40,40,40,90,0
61,"Poliwhirl",65,65,65,50,50,90,1
62,"Poliwrath",90,95,95,70,90,70,1
63,"Abra",25,20,15,105,55,90,0
64,"Kadabra",40,35,30,120,70,105,1
65,"Alakazam",55,50,45,135,95,120,1
66,"Machop",70,80,50,35,35,35,0
67,"Machoke",80,100,70,50,60,45,1
68,"Machamp",90,130,80,65,85,55,1
69,"Bellsprout",50,75,35,70,30,40,0
70,"Weepinbell",65,90,50,85,45,55,1
71,"Victreebel",80,105,65,100,70,70,1
72,"Tentacool",40,40,35,50,100,70,0
73,"Tentacruel",80,70,65,80,120,100,1
74,"Geodude",40,80,100,30,30,20,0
75,"Graveler",55,95,115,45,45,35,1
76,"Golem",80,120,130,55,65,45,1
77,"Ponyta",50,85,55,65,65,90,0
78,"Rapidash",65,100,70,80,80,105,1
79,"Slowpoke",90,65,65,40,40,15,0
80,"Slowbro",95,75,110,100,80,30,1
81,"Magnemite",25,35,70,95,55,45,0
82,"Magneton",50,60,95,120,70,70,1
83,"Farfetch'd",52,90,55,58,62,60,0
84,"Doduo",35,85,45,35,35,75,0
85,"Dodrio",60,110,70,60,60,110,1
86,"Seel",65,45,55,45,70,45,0
87,"Dewgong",90,70,80,70,95,70,1
88,"Grimer",80,80,50,40,50,25,0
89,"Muk",105,105,75,65,100,50,1
90,"Shellder",30,65,100,45,25,40,0
91,"Cloyster",50,95,180,85,45,70,1
92,"Gastly",30,35,30,100,35,80,0
93,"Haunter",45,50,45,115,55,95,1
94,"Gengar",60,65,60,130,75,110,1
95,"Onix",35,45,160,30,45,70,0
96,"Drowzee",60,48,45,43,90,42,0
97,"Hypno",85,73,70,73,115,67,1
98,"Krabby",30,105,90,25,25,50,0
99,"Kingler",55,130,115,50,50,75,1
100,"Voltorb",40,30,50,55,55,100,0
101,"Electrode",60,50,70,80,80,150,1
102,"Exeggcute",60,40,80,60,45,40,0
103,"Exeggutor",95,95,85,125,75,55,1
104,"Cubone",50,50,95,40,50,35,0
105,"Marowak",60,80,110,50,80,45,1
106,"Hitmonlee",50,120,53,35,110,87,1
107,"Hitmonchan",50,105,79,35,110,76,1
108,"Lickitung",90,55,75,60,75,30,0
109,"Koffing",40,65,95,60,45,35,0
110,"Weezing",65,90,120,85,70,60,1
111,"Rhyhorn",80,85,95,30,30,25,0
112,"Rhydon",105,130,120,45,45,40,1
113,"Chansey",250,5,5,35,105,50,1
114,"Tangela",65,55,115,100,40,60,0
115,"Kangaskhan",105,95,80,40,80,90,0
116,"Horsea",30,40,70,70,25,60,0
117,"Seadra",55,65,95,95,45,85,1
118,"Goldeen",45,67,60,35,50,63,0
119,"Seaking",80,92,65,65,80,68,1
120,"Staryu",30,45,55,70,55,85,0
121,"Starmie",60,75,85,100,85,115,1
122,"Mr. Mime",40,45,65,100,120,90,1
123,"Scyther",70,110,80,55,80,105,0
124,"Jynx",65,50,35,115,95,95,1
125,"Electabuzz",65,83,57,95,85,105,1
126,"Magmar",65,95,57,100,85,93,1
127,"Pinsir",65,125,100,55,70,85,0
128,"Tauros",75,100,95,40,70,110,0
129,"Magikarp",20,10,55,15,20,80,0
130,"Gyarados",95,125,79,60,100,81,1
131,"Lapras",130,85,80,85,95,60,0
132,"Ditto",48,48,48,48,48,48,0
133,"Eevee",55,55,50,45,65,55,0
134,"Vaporeon",130,65,60,110,95,65,1
135,"Jolteon",65,65,60,110,95,130,1
136,"Flareon",65,130,60,95,110,65,1
137,"Porygon",65,60,70,85,75,40,0
138,"Omanyte",35,40,100,90,55,35,0
139,"Omastar",70,60,125,115,70,55,1
140,"Kabuto",30,80,90,55,45,55,0
141,"Kabutops",60,115,105,65,70,80,1
142,"Aerodactyl",80,105,65,60,75,130,0
143,"Snorlax",160,110,65,65,110,30,1
144,"Articuno",90,85,100,95,125,85,0
145,"Zapdos",90,90,85,125,90,100,0
146,"Moltres",90,100,90,125,85,90,0
147,"Dratini",41,64,45,50,50,50,0
148,"Dragonair",61,84,65,70,70,70,1
149,"Dragonite",91,134,95,100,100,80,1
150,"Mewtwo",106,110,90,154,90,130,0
151,"Mew",100,100,100,100,100,100,0
152,"Chikorita",45,49,65,49,65,45,0
153,"Bayleef",60,62,80,63,80,60,1
154,"Meganium",80,82,100,83,100,80,1
155,"Cyndaquil",39,52,43,60,50,65,0
156,"Quilava",58,64,58,80,65,80,1
157,"Typhlosion",78,84,78,109,85,100,1
158,"Totodile",50,65,64,44,48,43,0
159,"Croconaw",65,80,80,59,63,58,1
160,"Feraligatr",85,105,100,79,83,78,1
161,"Sentret",35,46,34,35,45,20,0
162,"Furret",85,76,64,45,55,90,1
163,"Hoothoot",60,30,30,36,56,50,0
164,"Noctowl",100,50,50,86,96,70,1
165,"Ledyba",40,20,30,40,80,55,0
166,"Ledian",55,35,50,55,110,85,1
167,"Spinarak",40,60,40,40,40,30,0
168,"Ariados",70,90,70,60,70,40,1
169,"Crobat",85,90,80,70,80,130,1
170,"Chinchou",75,38,38,56,56,67,0
171,"Lanturn",125,58,58,76,76,67,1
172,"Pichu",20,40,15,35,35,60,0
173,"Cleffa",50,25,28,45,55,15,0
174,"Igglybuff",90,30,15,40,20,15,0
175,"Togepi",35,20,65,40,65,20,0
176,"Togetic",55,40,85,80,105,40,1
177,"Natu",40,50,45,70,45,70,0
178,"Xatu",65,75,70,95,70,95,1
179,"Mareep",55,40,40,65,45,35,0
180,"Flaaffy",70,55,55,80,60,45,1
181,"Ampharos",90,75,85,115,90,55,1
182,"Bellossom",75,80,95,90,100,50,0
183,"Marill",70,20,50,20,50,40,1
184,"Azumarill",100,50,80,60,80,50,1
185,"Sudowoodo",70,100,115,30,65,30,1
186,"Politoed",90,75,75,90,100,70,1
187,"Hoppip",35,35,40,35,55,50,0
188,"Skiploom",55,45,50,45,65,80,1
189,"Jumpluff",75,55,70,55,95,110,1
190,"Aipom",55,70,55,40,55,85,0
191,"Sunkern",30,30,30,30,30,30,0
192,"Sunflora",75,75,55,105,85,30,1
193,"Yanma",65,65,45,75,45,95,0
194,"Wooper",55,45,45,25,25,15,0
195,"Quagsire",95,85,85,65,65,35,1
196,"Espeon",65,65,60,130,95,110,1
197,"Umbreon",95,65,110,60,130,65,1
198,"Murkrow",60,85,42,85,42,91,0
199,"Slowking",95,75,80,100,110,30,1
200,"Misdreavus",60,60,60,85,85,85,0
201,"Unown",48,72,48,72,48,48,0
202,"Wobbuffet",190,33,58,33,58,33,1
203,"Girafarig",70,80,65,90,65,85,0
204,"Pineco",50,65,90,35,35,15,0
205,"Forretress",75,90,140,60,60,40,1
206,"Dunsparce",100,70,70,65,65,45,0
207,"Gligar",65,75,105,35,65,85,0
208,"Steelix",75,85,200,55,65,30,1
209,"Snubbull",60,80,50,40,40,30,0
210,"Granbull",90,120,75,60,60,45,1
211,"Qwilfish",65,95,85,55,55,85,0
212,"Scizor",70,130,100,55,80,65,1
213,"Shuckle",20,10,230,10,230,5,0
214,"Heracross",80,125,75,40,95,85,0
215,"Sneasel",55,95,55,35,75,115,0
216,"Teddiursa",60,80,50,50,50,40,0
217,"Ursaring",90,130,75,75,75,55,1
218,"Slugma",40,40,40,70,40,20,0
219,"Magcargo",60,50,120,90,80,30,1
220,"Swinub",50,50,40,30,30,50,0
221,"Piloswine",100,100,80,60,60,50,1
222,"Corsola",65,55,95,65,95,35,0
223,"Remoraid",35,65,35,65,35,65,0
224,"Octillery",75,105,75,105,75,45,1
225,"Delibird",45,55,45,65,45,75,0
226,"Mantine",85,40,70,80,140,70,1
227,"Skarmory",65,80,140,40,70,70,0
228,"Houndour",45,60,30,80,50,65,0
229,"Houndoom",75,90,50,110,80,95,1
230,"Kingdra",75,95,95,95,95,85,1
231,"Phanpy",90,60,60,40,40,40,0
232,"Donphan",90,120,120,60,60,50,1
233,"Porygon2",85,80,90,105,95,60,1
234,"Stantler",73,95,62,85,65,85,0
235,"Smeargle",55,20,35,20,45,75,0
236,"Tyrogue",35,35,35,35,35,35,0
237,"Hitmontop",50,95,95,35,110,70,1
238,"Smoochum",45,30,15,85,65,65,0
239,"Elekid",45,63,37,65,55,95,0
240,"Magby",45,75,37,70,55,83,0
241,"Miltank",95,80,105,40,70,100,0
242,"Blissey",255,10,10,75,135,55,1
243,"Raikou",90,85,75,115,100,115,0
244,"Entei",115,115,85,90,75,100,0
245,"Suicune",100,75,115,90,115,85,0
246,"Larvitar",50,64,50,45,50,41,0
247,"Pupitar",70,84,70,65,70,51,1
248,"Tyranitar",100,134,110,95,100,61,1
249,"Lugia",106,90,130,90,154,110,0
250,"Ho-oh",106,130,90,110,154,90,0
251,"Celebi",100,100,100,100,100,100,0
252,"Treecko",40,45,35,65,55,70,0
253,"Grovyle",50,65,45,85,65,95,1
254,"Sceptile",70,85,65,105,85,120,1
255,"Torchic",45,60,40,70,50,45,0
256,"Combusken",60,85,60,85,60,55,1
257,"Blaziken",80,120,70,110,70,80,1
258,"Mudkip",50,70,50,50,50,40,0
259,"Marshtomp",70,85,70,60,70,50,1
260,"Swampert",100,110,90,85,90,60,1
261,"Poochyena",35,55,35,30,30,35,0
262,"Mightyena",70,90,70,60,60,70,1
263,"Zigzagoon",38,30,41,30,41,60,0
264,"Linoone",78,70,61,50,61,100,1
265,"Wurmple",45,45,35,20,30,20,0
266,"Silcoon",50,35,55,25,25,15,1
267,"Beautifly",60,70,50,100,50,65,1
268,"Cascoon",50,35,55,25,25,15,1
269,"Dustox",60,50,70,50,90,65,1
270,"Lotad",40,30,30,40,50,30,0
271,"Lombre",60,50,50,60,70,50,1
272,"Ludicolo",80,70,70,90,100,70,1
273,"Seedot",40,40,50,30,30,30,0
274,"Nuzleaf",70,70,40,60,40,60,1
275,"Shiftry",90,100,60,90,60,80,1
276,"Taillow",40,55,30,30,30,85,0
277,"Swellow",60,85,60,75,50,125,1
278,"Wingull",40,30,30,55,30,85,0
279,"Pelipper",60,50,100,95,70,65,1
280,"Ralts",28,25,25,45,35,40,0
281,"Kirlia",38,35,35,65,55,50,1
282,"Gardevoir",68,65,65,125,115,80,1
283,"Surskit",40,30,32,50,52,65,0
284,"Masquerain",70,60,62,100,82,80,1
285,"Shroomish",60,40,60,40,60,35,0
286,"Breloom",60,130,80,60,60,70,1
287,"Slakoth",60,60,60,35,35,30,0
288,"Vigoroth",80,80,80,55,55,90,1
289,"Slaking",150,160,100,95,65,100,1
290,"Nincada",31,45,90,30,30,40,0
291,"Ninjask",61,90,45,50,50,160,1
292,"Shedinja",1,90,45,30,30,40,1
293,"Whismur",64,51,23,51,23,28,0
294,"Loudred",84,71,43,71,43,48,1
295,"Exploud",104,91,63,91,73,68,1
296,"Makuhita",72,60,30,20,30,25,0
297,"Hariyama",144,120,60,40,60,50,1
298,"Azurill",50,20,40,20,40,20,0
299,"Nosepass",30,45,135,45,90,30,0
300,"Skitty",50,45,45,35,35,50,0
301,"Delcatty",70,65,65,55,55,90,1
302,"Sableye",50,75,75,65,65,50,0
303,"Mawile",50,85,85,55,55,50,0
304,"Aron",50,70,100,40,40,30,0
305,"Lairon",60,90,140,50,50,40,1
306,"Aggron",70,110,180,60,60,50,1
307,"Meditite",30,40,55,40,55,60,0
308,"Medicham",60,60,75,60,75,80,1
309,"Electrike",40,45,40,65,40,65,0
310,"Manectric",70,75,60,105,60,105,1
311,"Plusle",60,50,40,85,75,95,0
312,"Minun",60,40,50,75,85,95,0
313,"Volbeat",65,73,75,47,85,85,0
314,"Illumise",65,47,75,73,85,85,0
315,"Roselia",50,60,45,100,80,65,1
316,"Gulpin",70,43,53,43,53,40,0
317,"Swalot",100,73,83,73,83,55,1
318,"Carvanha",45,90,20,65,20,65,0
319,"Sharpedo",70,120,40,95,40,95,1
320,"Wailmer",130,70,35,70,35,60,0
321,"Wailord",170,90,45,90,45,60,1
322,"Numel",60,60,40,65,45,35,0
323,"Camerupt",70,100,70,105,75,40,1
324,"Torkoal",70,85,140,85,70,20,0
325,"Spoink",60,25,35,70,80,60,0
326,"Grumpig",80,45,65,90,110,80,1
327,"Spinda",60,60,60,60,60,60,0
328,"Trapinch",45,100,45,45,45,10,0
329,"Vibrava",50,70,50,50,50,70,1
330,"Flygon",80,100,80,80,80,100,1
331,"Cacnea",50,85,40,85,40,35,0
332,"Cacturne",70,115,60,115,60,55,1
333,"Swablu",45,40,60,40,75,50,0
334,"Altaria",75,70,90,70,105,80,1
335,"Zangoose",73,115,60,60,60,90,0
336,"Seviper",73,100,60,100,60,65,0
337,"Lunatone",90,55,65,95,85,70,0
338,"Solrock",90,95,85,55,65,70,0
339,"Barboach",50,48,43,46,41,60,0
340,"Whiscash",110,78,73,76,71,60,1
341,"Corphish",43,80,65,50,35,35,0
342,"Crawdaunt",63,120,85,90,55,55,1
343,"Baltoy",40,40,55,40,70,55,0
344,"Claydol",60,70,105,70,120,75,1
345,"Lileep",66,41,77,61,87,23,0
346,"Cradily",86,81,97,81,107,43,1
347,"Anorith",45,95,50,40,50,75,0
348,"Armaldo",75,125,100,70,80,45,1
349,"Feebas",20,15,20,10,55,80,0
350,"Milotic",95,60,79,100,125,81,1
351,"Castform",70,70,70,70,70,70,0
352,"Kecleon",60,90,70,60,120,40,0
353,"Shuppet",44,75,35,63,33,45,0
354,"Banette",64,115,65,83,63,65,1
355,"Duskull",20,40,90,30,90,25,0
356,"Dusclops",40,70,130,60,130,25,1
357,"Tropius",99,68,83,72,87,51,0
358,"Chimecho",75,50,80,95,90,65,1
359,"Absol",65,130,60,75,60,75,0
360,"Wynaut",95,23,48,23,48,23,1
361,"Snorunt",50,50,50,50,50,50,0
362,"Glalie",80,80,80,80,80,80,1
363,"Spheal",70,40,50,55,50,25,0
364,"Sealeo",90,60,70,75,70,45,1
365,"Walrein",110,80,90,95,90,65,1
366,"Clamperl",35,64,85,74,55,32,0
367,"Huntail",55,104,105,94,75,52,1
368,"Gorebyss",55,84,105,114,75,52,1
369,"Relicanth",100,90,130,45,65,55,0
370,"Luvdisc",43,30,55,40,65,97,0
371,"Bagon",45,75,60,40,30,50,0
372,"Shelgon",65,95,100,60,50,50,1
373,"Salamence",95,135,80,110,80,100,1
374,"Beldum",40,55,80,35,60,30,0
375,"Metang",60,75,100,55,80,50,1
376,"Metagross",80,135,130,95,90,70,1
377,"Regirock",80,100,200,50,100,50,0
378,"Regice",80,50,100,100,200,50,0
379,"Registeel",80,75,150,75,150,50,0
380,"Latias",80,80,90,110,130,110,0
381,"Latios",80,90,80,130,110,110,0
382,"Kyogre",100,100,90,150,140,90,0
383,"Groudon",100,150,140,100,90,90,0
384,"Rayquaza",105,150,90,150,90,95,0
385,"Jirachi",100,100,100,100,100,100,0
386,"Deoxys Normal Forme",50,150,50,150,50,150,0
387,"Turtwig",55,68,64,45,55,31,0
388,"Grotle",75,89,85,55,65,36,1
389,"Torterra",95,109,105,75,85,56,1
390,"Chimchar",44,58,44,58,44,61,0
391,"Monferno",64,78,52,78,52,81,1
392,"Infernape",76,104,71,104,71,108,1
393,"Piplup",53,51,53,61,56,40,0
394,"Prinplup",64,66,68,81,76,50,1
395,"Empoleon",84,86,88,111,101,60,1
396,"Starly",40,55,30,30,30,60,0
397,"Staravia",55,75,50,40,40,80,1
398,"Staraptor",85,120,70,50,60,100,1
399,"Bidoof",59,45,40,35,40,31,0
400,"Bibarel",79,85,60,55,60,71,1
401,"Kricketot",37,25,41,25,41,25,0
402,"Kricketune",77,85,51,55,51,65,1
403,"Shinx",45,65,34,40,34,45,0
404,"Luxio",60,85,49,60,49,60,1
405,"Luxray",80,120,79,95,79,70,1
406,"Budew",40,30,35,50,70,55,0
407,"Roserade",60,70,65,125,105,90,1
408,"Cranidos",67,125,40,30,30,58,0
409,"Rampardos",97,165,60,65,50,58,1
410,"Shieldon",30,42,118,42,88,30,0
411,"Bastiodon",60,52,168,47,138,30,1
412,"Burmy Plant Cloak",40,29,45,29,45,36,0
413,"Wormadam Plant Cloak",60,59,85,79,105,36,1
414,"Mothim",70,94,50,94,50,66,1
415,"Combee",30,30,42,30,42,70,0
416,"Vespiquen",70,80,102,80,102,40,1
417,"Pachirisu",60,45,70,45,90,95,0
418,"Buizel",55,65,35,60,30,85,0
419,"Floatzel",85,105,55,85,50,115,1
420,"Cherubi",45,35,45,62,53,35,0
421,"Cherrim",70,60,70,87,78,85,1
422,"Shellos",76,48,48,57,62,34,0
423,"Gastrodon",111,83,68,92,82,39,1
424,"Ambipom",75,100,66,60,66,115,1
425,"Drifloon",90,50,34,60,44,70,0
426,"Drifblim",150,80,44,90,54,80,1
427,"Buneary",55,66,44,44,56,85,0
428,"Lopunny",65,76,84,54,96,105,1
429,"Mismagius",60,60,60,105,105,105,1
430,"Honchkrow",100,125,52,105,52,71,1
431,"Glameow",49,55,42,42,37,85,0
432,"Purugly",71,82,64,64,59,112,1
433,"Chingling",45,30,50,65,50,45,0
434,"Stunky",63,63,47,41,41,74,0
435,"Skuntank",103,93,67,71,61,84,1
436,"Bronzor",57,24,86,24,86,23,0
437,"Bronzong",67,89,116,79,116,33,1
438,"Bonsly",50,80,95,10,45,10,0
439,"Mime Jr.",20,25,45,70,90,60,0
440,"Happiny",100,5,5,15,65,30,0
441,"Chatot",76,65,45,92,42,91,0
442,"Spiritomb",50,92,108,92,108,35,0
443,"Gible",58,70,45,40,45,42,0
444,"Gabite",68,90,65,50,55,82,1
445,"Garchomp",108,130,95,80,85,102,1
446,"Munchlax",135,85,40,40,85,5,0
447,"Riolu",40,70,40,35,40,60,0
448,"Lucario",70,110,70,115,70,90,1
449,"Hippopotas",68,72,78,38,42,32,0
450,"Hippowdon",108,112,118,68,72,47,1
451,"Skorupi",40,50,90,30,55,65,0
452,"Drapion",70,90,110,60,75,95,1
453,"Croagunk",48,61,40,61,40,50,0
454,"Toxicroak",83,106,65,86,65,85,1
455,"Carnivine",74,100,72,90,72,46,0
456,"Finneon",49,49,56,49,61,66,0
457,"Lumineon",69,69,76,69,86,91,1
458,"Mantyke",45,20,50,60,120,50,1
459,"Snover",60,62,50,62,60,40,0
460,"Abomasnow",90,92,75,92,85,60,1
461,"Weavile",70,120,65,45,85,125,1
462,"Magnezone",70,70,115,130,90,60,1
463,"Lickilicky",110,85,95,80,95,50,1
464,"Rhyperior",115,140,130,55,55,40,1
465,"Tangrowth",100,100,125,110,50,50,1
466,"Electivire",75,123,67,95,85,95,1
467,"Magmortar",75,95,67,125,95,83,1
468,"Togekiss",85,50,95,120,115,80,1
469,"Yanmega",86,76,86,116,56,95,1
470,"Leafeon",65,110,130,60,65,95,1
471,"Glaceon",65,60,110,130,95,65,1
472,"Gliscor",75,95,125,45,75,95,1
473,"Mamoswine",110,130,80,70,60,80,1
474,"Porygon-Z",85,80,70,135,75,90,1
475,"Gallade",68,125,65,65,115,80,1
476,"Probopass",60,55,145,75,150,40,1
477,"Dusknoir",45,100,135,65,135,45,1
478,"Froslass",70,80,70,80,70,110,1
479,"Rotom",50,50,77,95,77,91,0
480,"Uxie",75,75,130,75,130,95,0
481,"Mesprit",80,105,105,105,105,80,0
482,"Azelf",75,125,70,125,70,115,0
483,"Dialga",100,120,120,150,100,90,0
484,"Palkia",90,120,100,150,120,100,0
485,"Heatran",91,90,106,130,106,77,0
486,"Regigigas",110,160,110,80,110,100,0
487,"Giratina Altered Forme",150,100,120,100,120,90,0
488,"Cresselia",120,70,110,75,120,85,0
489,"Phione",80,80,80,80,80,80,0
490,"Manaphy",100,100,100,100,100,100,0
491,"Darkrai",70,90,90,135,90,125,0
492,"Shaymin Land Forme",100,100,100,100,100,100,0
493,"Arceus",120,120,120,120,120,120,0
494,"Victini",100,100,100,100,100,100,0
495,"Snivy",45,45,55,45,55,63,0
496,"Servine",60,60,75,60,75,83,1
497,"Serperior",75,75,95,75,95,113,1
498,"Tepig",65,63,45,45,45,45,0
499,"Pignite",90,93,55,70,55,55,1
500,"Emboar",110,123,65,100,65,65,1
501,"Oshawott",55,55,45,63,45,45,0
502,"Dewott",75,75,60,83,60,60,1
503,"Samurott",95,100,85,108,70,70,1
504,"Patrat",45,55,39,35,39,42,0
505,"Watchog",60,85,69,60,69,77,1
506,"Lillipup",45,60,45,25,45,55,0
507,"Herdier",65,80,65,35,65,60,1
508,"Stoutland",85,110,90,45,90,80,1
509,"Purrloin",41,50,37,50,37,66,0
510,"Liepard",64,88,50,88,50,106,1
511,"Pansage",50,53,48,53,48,64,0
512,"Simisage",75,98,63,98,63,101,1
513,"Pansear",50,53,48,53,48,64,0
514,"Simisear",75,98,63,98,63,101,1
515,"Panpour",50,53,48,53,48,64,0
516,"Simipour",75,98,63,98,63,101,1
517,"Munna",76,25,45,67,55,24,0
518,"Musharna",116,55,85,107,95,29,1
519,"Pidove",50,55,50,36,30,43,0
520,"Tranquill",62,77,62,50,42,65,1
521,"Unfezant",80,115,80,65,55,93,1
522,"Blitzle",45,60,32,50,32,76,0
523,"Zebstrika",75,100,63,80,63,116,1
524,"Roggenrola",55,75,85,25,25,15,0
525,"Boldore",70,105,105,50,40,20,1
526,"Gigalith",85,135,130,60,80,25,1
527,"Woobat",65,45,43,55,43,72,0
528,"Swoobat",67,57,55,77,55,114,1
529,"Drilbur",60,85,40,30,45,68,0
530,"Excadrill",110,135,60,50,65,88,1
531,"Audino",103,60,86,60,86,50,0
532,"Timburr",75,80,55,25,35,35,0
533,"Gurdurr",85,105,85,40,50,40,1
534,"Conkeldurr",105,140,95,55,65,45,1
535,"Tympole",50,50,40,50,40,64,0
536,"Palpitoad",75,65,55,65,55,69,1
537,"Seismitoad",105,95,75,85,75,74,1
538,"Throh",120,100,85,30,85,45,0
539,"Sawk",75,125,75,30,75,85,0
540,"Sewaddle",45,53,70,40,60,42,0
541,"Swadloon",55,63,90,50,80,42,1
542,"Leavanny",75,103,80,70,80,92,1
543,"Venipede",30,45,59,30,39,57,0
544,"Whirlipede",40,55,99,40,79,47,1
545,"Scolipede",60,100,89,55,69,112,1
546,"Cottonee",40,27,60,37,50,66,0
547,"Whimsicott",60,67,85,77,75,116,1
548,"Petilil",45,35,50,70,50,30,0
549,"Lilligant",70,60,75,110,75,90,1
550,"Basculin Red-Striped Form",70,92,65,80,55,98,0
551,"Sandile",50,72,35,35,35,65,0
552,"Krokorok",60,82,45,45,45,74,1
553,"Krookodile",95,117,80,65,70,92,1
554,"Darumaka",70,90,45,15,45,50,0
555,"Darmanitan Standard Mode",105,140,55,30,55,95,1
556,"Maractus",75,86,67,106,67,60,0
557,"Dwebble",50,65,85,35,35,55,0
558,"Crustle",70,105,125,65,75,45,1
559,"Scraggy",50,75,70,35,70,48,0
560,"Scrafty",65,90,115,45,115,58,1
561,"Sigilyph",72,58,80,103,80,97,0
562,"Yamask",38,30,85,55,65,30,0
563,"Cofagrigus",58,50,145,95,105,30,1
564,"Tirtouga",54,78,103,53,45,22,0
565,"Carracosta",74,108,133,83,65,32,1
566,"Archen",55,112,45,74,45,70,0
567,"Archeops",75,140,65,112,65,110,1
568,"Trubbish",50,50,62,40,62,65,0
569,"Garbodor",80,95,82,60,82,75,1
570,"Zorua",40,65,40,80,40,65,0
571,"Zoroark",60,105,60,120,60,105,1
572,"Minccino",55,50,40,40,40,75,0
573,"Cinccino",75,95,60,65,60,115,1
574,"Gothita",45,30,50,55,65,45,0
575,"Gothorita",60,45,70,75,85,55,1
576,"Gothitelle",70,55,95,95,110,65,1
577,"Solosis",45,30,40,105,50,20,0
578,"Duosion",65,40,50,125,60,30,1
579,"Reuniclus",110,65,75,125,85,30,1
580,"Ducklett",62,44,50,44,50,55,0
581,"Swanna",75,87,63,87,63,98,1
582,"Vanillite",36,50,50,65,60,44,0
583,"Vanillish",51,65,65,80,75,59,1
584,"Vanilluxe",71,95,85,110,95,79,1
585,"Deerling",60,60,50,40,50,75,0
586,"Sawsbuck",80,100,70,60,70,95,1
587,"Emolga",55,75,60,75,60,103,0
588,"Karrablast",50,75,45,40,45,60,0
589,"Escavalier",70,135,105,60,105,20,1
590,"Foongus",69,55,45,55,55,15,0
591,"Amoonguss",114,85,70,85,80,30,1
592,"Frillish",55,40,50,65,85,40,0
593,"Jellicent",100,60,70,85,105,60,1
594,"Alomomola",165,75,80,40,45,65,0
595,"Joltik",50,47,50,57,50,65,0
596,"Galvantula",70,77,60,97,60,108,1
597,"Ferroseed",44,50,91,24,86,10,0
598,"Ferrothorn",74,94,131,54,116,20,1
599,"Klink",40,55,70,45,60,30,0
600,"Klang",60,80,95,70,85,50,1
601,"Klinklang",60,100,115,70,85,90,1
602,"Tynamo",35,55,40,45,40,60,0
603,"Eelektrik",65,85,70,75,70,40,1
604,"Eelektross",85,115,80,105,80,50,1
605,"Elgyem",55,55,55,85,55,30,0
606,"Beheeyem",75,75,75,125,95,40,1
607,"Litwick",50,30,55,65,55,20,0
608,"Lampent",60,40,60,95,60,55,1
609,"Chandelure",60,55,90,145,90,80,1
610,"Axew",46,87,60,30,40,57,0
611,"Fraxure",66,117,70,40,50,67,1
612,"Haxorus",76,147,90,60,70,97,1
